id,name,lat,lon
LC-0459,Igreja de Nossa Senhora do Desterro (Igreja Santa Tereza),-8.021997,-34.859251
LC-0460,Igreja de Nossa Senhora do Guadalupe,-8.007729,-34.857491
LC-0420,Igreja de Nossa Senhora do Pilar (Igreja do Pilar),-8.055926,-34.870291
LC-0421,Igreja de Santa Cruz,-8.062554,-34.88787
LC-0172,Igreja de Santa Rita de Cássia,-8.069935,-34.878051
LC-0462,Igreja de São João Batista dos Militares,-8.010257,-34.854906
LC-0173,Igreja de São José do Ribamar,-8.070423,-34.879097
LC-0458,Igreja de São Pedro Apóstolo,-8.016668,-34.851104
LC-0174,Igreja de São Pedro dos Clérigos,-8.067327,-34.879145
LC-0450,Igreja do Carmo de Olinda,-8.017381,-34.849153
LC-0175,Igreja do Divino Espírito Santo,-8.0655,-34.877026
LC-0176,Igreja do Livramento,-8.066692,-34.87805
LC-0178,Igreja do Terço,-8.068829,-34.880592
LC-0428,Igreja Matriz da Boa Vista,-8.062727,-34.885238
LC-0456,Igreja N. S. do Rosário dos Homens Pretos de Olinda,-8.010162,-34.853582
LC-0419,Igreja Nossa Senhora da Soledade,-8.056365,-34.889863
LC-0457,Igreja Nossa Senhora do Amparo (Igreja do Amparo),-8.011819,-34.853548
LC-0181,Igreja de Nossa Senhora do Rosário dos Homens Pretos,-8.065324,-34.877882
LC-0413,IMIP,-8.066699,-34.89045
LC-0399,INCRA,-8.042934,-34.89755
LC-0183,Instituto Ricardo Brennand,-8.06498,-34.962898
LC-0374,Jardim Botânico,-8.0766,-34.959704
LC-0257,Jardim do Baobá,-8.04153,-34.904481
LC-0203,Lagoa do Araçá,-8.094285,-34.915026
LC-0204,Largo da Paz,-8.080624,-34.906152
LC-0429,LeiaJá,-8.063042,-34.880557
LC-0205,Liceu de Artes e Ofícios,-8.06127,-34.879032
LC-0394,Madeiras do Rosarinho,-8.031073,-34.893058
LC-0433,Mamam - Museu de Arte Moderna Aloísio Magalhães,-8.061358,-34.88131
LC-0388,Maracatu Cruzeiro do Forte,-8.057437,-34.929968
LC-0213,Maracatu Encanto do Pina,-8.091432,-34.890049
LC-0214,Maracatu Porto Rico,-8.094008,-34.888054
LC-0215,Marco Zero,-8.06316,-34.871066
LC-0220,Matriz de Santo Antônio,-8.064271,-34.878789
LC-0223,Memorial de Medicina,-8.058432,-34.900386
LC-0224,Mercado da Encruzilhada,-8.037184,-34.892172
LC-0225,Mercado da Madalena,-8.052389,-34.908711
LC-0452,Mercado da Ribeira,-8.01567,-34.852489
LC-0226,Mercado de Afogados,-8.077906,-34.906294
LC-0227,Mercado de Beberibe,-8.002572,-34.897186
LC-0228,Mercado de Casa Amarela,-8.025808,-34.91708
LC-0229,Mercado de São José,-8.068497,-34.877687
LC-0230,Metrô do Recife,-8.068839,-34.88571
LC-0404,Monte dos Guararapes,-8.151149,-34.932534
LC-0232,Monumento a Frei Caneca,-8.065444,-34.876615
LC-0233,Monumento aos Aviadores Portugueses,-8.065294,-34.876404
LC-0235,Morro da Conceição,-8.019295,-34.915281
LC-0236,Mosteiro de São Bento,-8.019903,-34.851913
LC-0238,Mural da Batalha dos Guararapes,-8.064944,-34.878971
LC-0239,Museu da Abolição (Casarão de João Alfredo),-8.057035,-34.90903
LC-0436,Museu de Arte Popular,-8.066871,-34.878979
LC-0240,Museu do Estado,-8.044562,-34.901685
LC-0241,Museu do Homem do Nordeste,-8.03039,-34.925065
LC-0434,Museu Franciscano de Arte Sacra,-8.062461,-34.877132
LC-0447,Museu Regional de Olinda (MAC),-8.013401,-34.852927
LC-0432,Museum Murillo La Greca,-8.037295,-34.909796
LC-0463,O Forró,-8.060302,-34.869999
LC-0461,O Terreiro de Xambá,-8.001551,-34.893681
LC-0440,Observatório do Alto da Sé,-8.013328,-34.850747
LC-0248,Oficina Brennand,-8.052777,-34.973735
LC-0391,Paço Alfândega,-8.064997,-34.873807
LC-0382,Painel da Batalha dos Guararapes,-8.064998,-34.878733
LC-0252,Palácio da Justiça,-8.061643,-34.877673
LC-0253,Palácio do Campo das Princesas,-8.06002,-34.877464
LC-0355,Parque 13 de Maio,-8.05702,-34.88172
LC-0359,Parque das Esculturas,-8.063926,-34.86913
LC-0373,Parque de Dois Irmãos,-8.012263,-34.944916
LC-0258,Pátio de São Pedro,-8.067009,-34.878941
LC-0259,Pátio do Livramento,-8.06639,-34.877642
LC-0266,Polo Médico,-8.065307,-34.895672
LC-0267,Polo Pina,-8.091153,-34.882934
LC-0268,Ponte Buarque de Macedo,-8.062017,-34.87503
LC-0270,Ponte da Boa Vista,-8.063652,-34.88175
LC-0272,Ponte da Torre,-8.045392,-34.90351
LC-0273,Ponte do Derby,-8.057904,-34.901485
LC-0274,Ponte do Limoeiro,-8.050619,-34.873044
LC-0276,Ponte Duarte Coelho,-8.062375,-34.881076
LC-0277,Ponte Giratória,-8.067234,-34.873959
LC-0279,Ponte Motocolombó,-8.083777,-34.906899
LC-0280,Ponte Paulo Guerra,-8.082225,-34.88967
LC-0281,Ponte Princesa Isabel,-8.059841,-34.879454
LC-0282,Porto do Recife,-8.053771,-34.869901
LC-0412,Praça Chora Menino,-8.060361,-34.894893
LC-0284,Praça da República,-8.060744,-34.877874
LC-0285,Praça da Várzea,-8.048972,-34.959454
LC-0286,Praça de Boa Viagem,-8.132088,-34.900324
LC-0287,Praça de Casa Forte,-8.034774,-34.919303
LC-0288,Praça Dezessete,-8.065179,-34.876567
LC-0289,Praça do Arsenal,-8.061006,-34.87138
LC-0290,Praça do Carmo,-8.016788,-34.848518
LC-0365,Praça do Derby,-8.056515,-34.899441
LC-0292,Praça do Pirulito,-8.069972,-34.880197
LC-0293,Praça Dom Vidal,-8.068257,-34.878415
LC-0294,Praça Euclides da Cunha,-8.058121,-34.903699
LC-0295,Praça Joaquim Nabuco,-8.064687,-34.881277
LC-0393,Praça Maciel Pinheiro,-8.062323,-34.885892
LC-0411,Praça Miguel de Cervantes,-8.067073,-34.893639
LC-0384,Praça Tiradentes,-8.058805,-34.872006
LC-0297,Prefeitura do Recife,-8.054329,-34.872338
LC-0300,Quartel do Derby,-8.056735,-34.900986
LC-0302,Restaurante Dom Pedro,-8.063721,-34.877159
LC-0364,Restaurante Leite,-8.065003,-34.881264
LC-0306,Rio Afogados,-8.083497,-34.909933
LC-0307,Rio Beberibe,-8.027407,-34.860056
LC-0308,Rio Capibaribe,-8.055359,-34.903606
LC-0309,Rio Mar Shopping,-8.086181,-34.895307
LC-0310,Rio Tejipió,-8.083213,-34.899515
LC-0367,Rua da Aurora,-8.055396,-34.877238
LC-0314,Rua da Guia,-8.061312,-34.871706
LC-0396,Rua da Harmonia,-8.028308,-34.914172
LC-0315,Rua da Praia,-8.067177,-34.876909
LC-0316,Rua do Apolo,-8.061828,-34.872603
LC-0317,Rua do Bom Jesus,-8.062169,-34.871431
LC-0318,Rua do Imperador,-8.064796,-34.87678
LC-0319,Rua do Sol,-8.061945,-34.880025
LC-0320,Rua Dom Bosco,-8.057089,-34.894964
LC-0325,Rua Félix de Brito e Melo,-8.116798,-34.897674
LC-0405,Rua Gervásio Pires,-8.057673,-34.885256
LC-0406,Rua Henrique Dias,-8.05887,-34.897602
LC-0321,Rua Joaquim Nabuco,-8.052459,-34.899692
LC-0427,Rua Madre de Deus,-8.064295,-34.873569
LC-0322,Rua Nova,-8.064156,-34.879866
LC-0323,Rua Padre Carapuceiro,-8.118206,-34.8994
LC-0324,Rua Vigário Tenório,-8.063935,-34.87296
LC-0372,Santa Cruz Futebol Clube,-8.026914,-34.892923
LC-0439,São Luiz Cinema,-8.062254,-34.881934
LC-0328,Savoy,-8.063487,-34.879341
LC-0330,Seminário de Olinda,-8.01277,-34.847835
LC-0332,Sinagoga Kahal Zur Israel,-8.061825,-34.871425
LC-0333,Sítio da Trindade,-8.028645,-34.911713
LC-0335,Sport Club do Recife,-8.061683,-34.902713
LC-0336,Sudene,-8.048151,-34.943938
LC-0524,Cine Teatro Apolo,-8.061407,-34.872579
LC-0339,Teatro Santa Isabel,-8.060694,-34.878424
LC-0341,Terminal de Santa Rita,-8.068286,-34.875878
LC-0426,TIP,-8.063173,-34.982793
LC-0343,Torre do Zeppelin,-8.078437,-34.926315
LC-0344,Torre Malakoff,-8.060737,-34.870823
LC-0465,Travessa Tuyuty,-8.065059,-34.873455
LC-0346,UFPE,-8.051799,-34.950847
LC-0347,UFRPE,-8.017412,-34.949247
LC-0350,Via Mangue,-8.104957,-34.891567
LC-0351,Viaduto Capitão Temudo,-8.070145,-34.895839
LC-0352,Viaduto José de Barros Lima,-8.068211,-34.896715
LC-AUS-0023,Bacia do Pina,-8.078426,-34.883503
LC-0596,Rua da Moeda,-8.0625,-34.8715
LC-0562,Largo do Amparo,-8.0089,-34.842
LC-0598,Rua do Amparo,-8.0091,-34.8416
LC-0561,Ladeira da Misericórdia,-8.01,-34.8388
LC-0591,Rua Direita,-8.0685,-34.8752
LC-0592,Rua Doutor José Mariano,-8.0576,-34.8878
