id,name,year_start,year_end
LC-0236,Mosteiro de São Bento,,
LC-0238,Mural da Batalha dos Guararapes,,
LC-0239,Museu da Abolição (Casarão de João Alfredo),,
LC-0436,Museu de Arte Popular,,
LC-0240,Museu do Estado,,
LC-0241,Museu do Homem do Nordeste,,
LC-0434,Museu Franciscano de Arte Sacra,,
LC-0447,Museu Regional de Olinda (MAC),,
LC-0432,Museum Murillo La Greca,,
LC-0463,O Forró,,
LC-0461,O Terreiro de Xambá,,
LC-0440,Observatório do Alto da Sé,,
LC-0248,Oficina Brennand,,
LC-0391,Paço Alfândega,,
LC-0382,Painel da Batalha dos Guararapes,,
LC-0252,Palácio da Justiça,,
LC-0253,Palácio do Campo das Princesas,,
LC-0355,Parque 13 de Maio,,
LC-0359,Parque das Esculturas,,
LC-0373,Parque de Dois Irmãos,,
LC-0258,Pátio de São Pedro,,
LC-0259,Pátio do Livramento,,
LC-0266,Polo Médico,,
LC-0267,Polo Pina,,
LC-0268,Ponte Buarque de Macedo,,
LC-0270,Ponte da Boa Vista,,
LC-0272,Ponte da Torre,,
LC-0273,Ponte do Derby,,
LC-0274,Ponte do Limoeiro,,
LC-0276,Ponte Duarte Coelho,,
LC-0277,Ponte Giratória,,
LC-0279,Ponte Motocolombó,,
LC-0280,Ponte Paulo Guerra,,
LC-0281,Ponte Princesa Isabel,,
LC-0282,Porto do Recife,,
LC-0412,Praça Chora Menino,,
LC-0284,Praça da República,,
LC-0285,Praça da Várzea,,
LC-0286,Praça de Boa Viagem,,
LC-0287,Praça de Casa Forte,,
LC-0288,Praça Dezessete,,
LC-0289,Praça do Arsenal,,
LC-0290,Praça do Carmo,,
LC-0365,Praça do Derby,,
LC-0292,Praça do Pirulito,,
LC-0293,Praça Dom Vidal,,
LC-0294,Praça Euclides da Cunha,,
LC-0295,Praça Joaquim Nabuco,,
LC-0393,Praça Maciel Pinheiro,,
LC-0411,Praça Miguel de Cervantes,,
LC-0384,Praça Tiradentes,,
LC-0297,Prefeitura do Recife,,
LC-0300,Quartel do Derby,,
LC-0302,Restaurante Dom Pedro,,
LC-0364,Restaurante Leite,,
LC-0306,Rio Afogados,,
LC-0307,Rio Beberibe,,
LC-0308,Rio Capibaribe,,
LC-0309,Rio Mar Shopping,,
LC-0310,Rio Tejipió,,
LC-0367,Rua da Aurora,,
LC-0314,Rua da Guia,,
LC-0396,Rua da Harmonia,,
LC-0315,Rua da Praia,,
LC-0316,Rua do Apolo,,
LC-0317,Rua do Bom Jesus,,
LC-0318,Rua do Imperador,,
LC-0319,Rua do Sol,,
LC-0320,Rua Dom Bosco,,
LC-0325,Rua Félix de Brito e Melo,,
LC-0405,Rua Gervásio Pires,,
LC-0406,Rua Henrique Dias,,
LC-0321,Rua Joaquim Nabuco,,
LC-0427,Rua Madre de Deus,,
LC-0322,Rua Nova,,
LC-0323,Rua Padre Carapuceiro,,
LC-0324,Rua Vigário Tenório,,
LC-0372,Santa Cruz Futebol Clube,,
LC-0439,São Luiz Cinema,,
LC-0328,Savoy,,
LC-0330,Seminário de Olinda,,
LC-0332,Sinagoga Kahal Zur Israel,,
LC-0333,Sítio da Trindade,,
LC-0335,Sport Club do Recife,,
LC-0336,Sudene,,
LC-0524,Cine Teatro Apolo,,
LC-0339,Teatro Santa Isabel,,
LC-0341,Terminal de Santa Rita,,
LC-0426,TIP,,
LC-0343,Torre do Zeppelin,,
LC-0344,Torre Malakoff,,
LC-0465,Travessa Tuyuty,,
LC-0346,UFPE,,
LC-0347,UFRPE,,
LC-0350,Via Mangue,,
LC-0351,Viaduto Capitão Temudo,,
LC-0352,Viaduto José de Barros Lima,,
LC-AUS-0023,Bacia do Pina,,
