Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Alfredo Lisboa,Personagem,,,https://ihgb.org.br/images/comprofiler/1826_5900fbb2c8f2a.jpg,"Alfredo Antonio Simões dos Santos Lisboa. Nascido na Embaixada do Brasil na Bol?via em 31 de março de 1847, e faleceu no Rio de Janeiro em 16 de setembro de 1936. Bacharelou-se em Matem?tica e Filosofia pela Univ. de Coimbra (1871). Formou-se em Engenharia pela Univ. de Gand (Bélgica), em 1873. Veio, então, para o Brasil, dedicando-se em engenharia hidráulica. Realizou muitos trabalhos para o governo, entre eles os de melhoramentos de portos, abertura de estradas e expans?o da rede telegráfica. Chefe de Seção da E.F. D. Pedro II (1881/83), engenheiro da E.F. de Pernambuco (1884), engenheiro-chefe da Comissão de Melhoramentos do Porto do Recife e encarregado das Obras Públicas Gerais de PR (1886/90)",Avenida Alfredo Lisboa,Porto do Recife,,,,,,,,,,,,,
Alvaro Lins,Personagem,,,http://basilio.fundaj.gov.br/pesquisaescolar/images/stories/alvarolins.gif,"Álvaro de Barros Lins (Caruaru, 14 de dezembro de 1912 - Rio de Janeiro, 4 de junho de 1970) foi advogado, jornalista, diplomata, professor e cr?tico liter?rio, que alcançou renome nacional, Foi membro da Academia Brasileira de Letras. Foi casado com Heloísa Ramos Lins, com quem teve dois filhos. Publicou mais de 30 obras, entre as quais No mundo do romance policial (1947), Os mortos de sobrecasaca (1963), Filosofia, hist?ria e cr?tica na literatura brasileira (1967). Ganhou vários prémios liter?rios, entre os quais o Jabuti, como Personalidade do Ano (1960), por sua obra Missão em Portugal.",Faculdade de Direito do Recife,Mario Melo,,,,,,,,,,,,,
Amaury de Medeiros,Personagem,,,http://www.fernandomachado.blog.br/novo/wp-content/uploads/2015/01/amaury-de-medeiros3.jpg,"Amaury de Medeiros (Recife, 7 de dezembro de 1893 - Rio de Janeiro, 3 de dezembro de 1928), foi um m?dico sanitarista, pol?tico e professor de medicina brasileiro. Nasceu no bairro do Parnamirim. Foi aluno do Gin?sio Pernambucano e se bacharelou em medicina no Rio de Janeiro. Em 1917 chefiou os servi?os da Cruz Vermelha Brasileira. De 1922 a 1926, foi convidado pelo seu sogro e na ?poca governador de Pernambuco Sérgio Loreto, para diretor do Departamento de Saúde e Assistência de Pernambuco (DSA).",Sergio Loreto,,,,,,,,,,,,,,
Anibal Fernandes,Personagem,,,http://www.fernandomachado.blog.br/novo/wp-content/uploads/2016/02/anibal-fernandes.jpg,"Aníbal Gonçalves Fernandes foi professor, jornalista, oficial de gabinete do governo Sérgio Loreto, secretário de justiça e instrução, deputado estadual, mas sua maior paixão foi o jornalismo. Também foi membro da Academia Pernambucana de Letras e do Instituto Arqueológico, Histórico e Geográfico Pernambucano.",Diario de Pernambuco,Praça da Indepedencia,Mario Melo,Sergio Loreto,Democrito de Souza Filho,,,,,,,,,,
Antonio de Goes,Personagem,,,,"Antônio de Góis Cavalcanti (? - ?) foi um engenheiro pernambucano e prefeito de Recife em duas administrações. A primeira administração ocorreu entre 1922 e 1925[carece de fontes], onde foram construídas a Praça do Derby[2] e a Praça do Entroncamento. Nessa administração também foi oficializado o hino do Recife[3]. A segunda administração foi entre 1931 e 1934[4]. Nessa administração foi construído o Mercado de Santo Amaro. Antonio de Góis, juntamente com outros dois engenheiros pernambucanos, foi o inventor do cobogó, elemento vazado inicialmente feito com cimento.",Palácio do Campo das Princesas,Mercado da Madalena,Aderbal Jurema,Ponte Duarte Coelho,Ponte da Capunga,Ariano Suassuna,Francisco do Rego Barros,,,,,,,,
Antonio Fárias,Personagem,,,http://fernandomachado.blog.br/wp-content/uploads/2012/11/antonio-farias.jpg,"Antônio Arruda de Farias (Surubim, 28 de novembro de 1932 — 13 de abril de 1988) foi um político e economista brasileiro. Foi prefeito de Recife, deputado estadual e deputado federal. Na vida privada, chegou a gerir uma usina de beneficiamento de algodão pertencente a seu pai, Severino Farias, em Surubim. Já na década de 1960 adquiriu, com outros sócios, a Usina Pedroza em Cortês, mata sul de Pernambuco. Tornou-se sócio majoritário na empresa e na década de 1970 iniciou o projeto de implantação da Destilaria Baia Formosa nos tabuleiros de Baia Formosa, no estado do Rio Grande do Norte. Na eleição de 1986 elegeu-se senador constituinte por Pernambuco. Veio a falecer no exercício do mandato quando integrava à época a comissão de sistematização da Assembleia Nacional Constituinte. Foi filiado a UDN, ARENA, PDS e PMB.",Prefeitura do Recife,João Gabriel,,,,,,,,,,,,,
Antonio Fernandes de Mattos,Personagem,,,,"Antônio Fernandes de Matos (Moreira do Lima, 1640 - Recife, 1701) foi um mestre de obras, arquiteto e empresário português do Brasil colônia. Foi um dos responsáveis pelo grande surto construtivo ocorrido no Recife no final do século XVII",Capela Dourada,,,,,,,,,,,,,,
Antonio Silvino,Personagem,,,https://tokdehistoria.files.wordpress.com/2013/11/i0028760-13px000379py001197-cc3b3pia-2.jpg,"Antônio Silvino ou Manoel Baptista de Morais (Afogados da Ingazeira, 2 de novembro de 1875 — Campina Grande, 30 de julho de 1944), foi um cangaceiro, filho de Pedro Baptista de Morais e Balbina Pereira de Morais. Faleceu em Campina Grande, em casa de uma prima, em 30 de julho de 1944.",Casa da Cultura,Cangaço,,,,,,,,,,,,,
Ariano Suassuna,Personagem,,,https://s.ebiografia.com/assets/img/authors/ar/ia/ariano-suassuna-l.jpg,"Ariano Vilar Suassuna (Cidade da Parahyba,[1] 16 de junho de 1927 — Recife, 23 de julho de 2014) foi um dramaturgo, romancista, ensaísta, poeta e professor brasileiro.[2][3] Idealizador do Movimento Armorial e autor das obras Auto da Compadecida e O Romance d'A Pedra do Reino e o Príncipe do Sangue do Vai-e-Volta, foi um preeminente defensor da cultura do Nordeste do Brasil. Foi Secretário de Cultura de Pernambuco (1994-1998) e Secretário de Assessoria do governador Eduardo Campos até abril de 2014.[4]",Avenida 17 de Agosto,Antonio de Goes,Academia Pernambucana de Letras,,,,,,,,,,,,
Arquivo Publico,Local,Biblioteca,Santo Antonio,http://especiais.jconline.ne10.uol.com.br/revolucao-1817/assets/images/04-arquivo-publico-do-estado2-2000x1333-800x533.jpg,"O Arquivo Público guarda parte importante da história de Pernambuco em documentos, mapas, leis, jornais, livros e manuscritos preservados para garantir um futuro ao nosso passado. O acervo do Arquivo Público Estadual está em contínua expansão. E, para tornar o seu valioso conteúdo cada vez mais acessível, é preciso se manter em constante modernização.",Rua do Imperador,Restaurante Dom Pedro,Gabinete Português de Leitura,,,,,,,,,,,,
